Id,SalePrice
1461,113343.13268404582
1462,154732.32344932077
1463,161904.64028941456
1464,197026.55456883486
1465,183745.8195532845
1466,169605.47203332078
1467,185038.75979562232
1468,166802.99125664725
1469,190282.99539715773
1470,116235.338896771
1471,191052.77440625953
1472,107735.62835443667
1473,98468.09636357304
1474,151400.3343110901
1475,119861.99623373515
1476,340790.92552329967
1477,235115.1778658086
1478,291544.6926436017
1479,277030.60486027825
1480,452937.1556121427
1481,300648.3316415249
1482,203256.95175558137
1483,172901.63861655752
1484,168116.19124068815
1485,201147.4654969699
1486,201986.18806482278
1487,300872.5597845453
1488,231373.8822316154
1489,182610.76382927742
1490,223804.23222530034
1491,200462.36259488357
1492,91665.98000562667
1493,205793.23201121247
1494,293456.42575217126
1495,268198.8360343161
1496,225470.398960037
1497,170758.92908005175
1498,170049.67046976177
1499,167295.48255157212
1500,161509.68131581898
1501,167599.53478326864
1502,157983.72756778548
1503,289542.8301551327
1504,245360.33373256912
1505,223726.79456437947
1506,195688.50192458506
1507,234005.30306103724
1508,192757.43067964993
1509,154169.11696330222
1510,133066.55851243358
1511,145023.42312584602
1512,170014.7764571717
1513,151083.690067927
1514,140100.29303664225
1515,182399.91120947085
1516,148855.88409858578
1517,162607.35371783597
1518,131411.18713368356
1519,200104.78704265464
1520,124390.43361432354
1521,118066.18194265034
1522,176804.73832396025
1523,102698.98930070976
1524,122242.83205868522
1525,106372.31984261118
1526,98972.42218786533
1527,99892.11857206341
1528,150396.3401276693
1529,138744.11742595094
1530,200757.92446574586
1531,119338.03915168389
1532,105370.22951782154
1533,164051.70615549007
1534,132935.1518135008
1535,148320.2022575886
1536,115382.3012386495
1537,56739.37171698919
1538,138316.91904695722
1539,193512.05039470166
1540,84785.12753415454
1541,135524.58096579777
1542,131490.6746838489
1543,170945.20813978513
1544,92326.31153626091
1545,109243.02275262051
1546,143381.4065417074
1547,135869.96511816347
1548,127468.91043789452
1549,116861.73880847407
1550,127728.69280694558
1551,125733.59524337637
1552,125970.22740679131
1553,132540.88028933248
1554,121222.7095376679
1555,149910.34328854314
1556,86126.17711136151
1557,84989.10523088476
1558,107539.17177109426
1559,71756.9719311793
1560,132206.48818819833
1561,115575.01489962084
1562,142790.6192270221
1563,117158.24125306366
1564,155677.44809457517
1565,137902.05814573338
1566,227630.09292952617
1567,78063.0525719014
1568,233801.36264778645
1569,125223.20344987932
1570,151363.4928927531
1571,116631.91347816616
1572,142835.16446563456
1573,224491.5664791004
1574,107622.70588346965
1575,212840.10682099417
1576,250857.99179267185
1577,177954.96192642712
1578,139119.77041244038
1579,126930.53847205952
1580,195846.98655869087
1581,159367.49875715468
1582,128391.49073235295
1583,289499.86053260515
1584,219712.8534628846
1585,145529.89191690154
1586,70622.39813779706
1587,100391.30854109363
1588,142843.6699040056
1589,90751.54234432214
1590,140426.62489988666
1591,89310.5796070651
1592,123665.3303426811
1593,137616.7286727587
1594,130974.82860565919
1595,99246.97703232821
1596,200634.47162240715
1597,159168.96778252267
1598,198360.02906852885
1599,177155.25670932268
1600,174497.0471493982
1601,65992.92253965944
1602,118141.01974467645
1603,77129.2045761469
1604,247969.99410183824
1605,245687.64734199503
1606,167841.53169448205
1607,181273.09390594525
1608,228762.4251851635
1609,184655.13128981474
1610,150711.04076195878
1611,131882.5217834139
1612,169352.97737431782
1613,167339.90216513537
1614,138782.92500459205
1615,99267.18691738034
1616,82157.21164869404
1617,96017.54752538893
1618,122953.76091205589
1619,149276.0683356286
1620,147259.71440556992
1621,127319.07880050832
1622,155516.12077913675
1623,266219.1562009594
1624,201801.2997836638
1625,114654.98193160366
1626,172880.616061961
1627,183835.76978077684
1628,284006.6960769663
1629,171648.07284791977
1630,302783.2062020341
1631,216532.81780184098
1632,213574.9079287988
1633,179147.9347199149
1634,182716.3849875771
1635,186831.81046885243
1636,160492.908363169
1637,184322.7854164925
1638,191202.75221186515
1639,179152.8040036163
1640,261585.0878986039
1641,176575.0863071089
1642,242696.9701561969
1643,229986.96948912207
1644,238508.4710653896
1645,244243.2922144866
1646,165917.90867579103
1647,163134.43514294495
1648,133157.1346961223
1649,149079.32076464646
1650,107254.9615314163
1651,119778.0790251471
1652,110745.8598623313
1653,113271.13158707897
1654,144450.99193309236
1655,150874.92833684746
1656,141181.15368909788
1657,146544.03650186321
1658,146072.7256679965
1659,123761.13260301886
1660,146346.99051418685
1661,438491.6567351132
1662,349425.9993836687
1663,343159.811319823
1664,471150.4801002727
1665,288630.39964439045
1666,300867.84332109825
1667,350319.20049761876
1668,329113.26289214403
1669,302047.5890947199
1670,325440.16020873276
1671,249238.29543379296
1672,397171.9931886407
1673,291705.078727884
1674,239370.66461054538
1675,183956.69295321146
1676,186685.31681153242
1677,199102.02104075585
1678,398469.9415212082
1679,347239.30000287684
1680,291578.58069397096
1681,229946.43746656104
1682,282556.3660665133
1683,177034.80509621074
1684,195817.8051087603
1685,187962.985362946
1686,178098.16100143583
1687,185204.25013350425
1688,199953.27313827066
1689,205058.2267186102
1690,216038.98840183858
1691,204634.3497225453
1692,276383.54838110966
1693,182629.06160609698
1694,184104.32650317575
1695,168636.9532599658
1696,277123.25474758475
1697,177470.6488210603
1698,326167.1860926444
1699,358751.51184685365
1700,235641.1507804182
1701,260739.32737455238
1702,242579.13040597664
1703,256424.9653386189
1704,273874.400247977
1705,250381.95713995202
1706,355586.6253930624
1707,208299.333533762
1708,201072.64168936986
1709,277862.0093630925
1710,221182.57039580593
1711,280349.4829030343
1712,261676.79902896995
1713,266259.2734207513
1714,219842.07005545538
1715,207668.95263923804
1716,181557.62309497816
1717,188950.92275983052
1718,135508.97525701855
1719,204123.4859551602
1720,266722.5028968167
1721,174509.7471032402
1722,128537.57367956707
1723,160624.1526219644
1724,205967.5975822338
1725,232535.35735046014
1726,188396.74786869364
1727,146013.30600990992
1728,197903.77558964232
1729,161604.6485962616
1730,168092.89504022343
1731,131889.77756644244
1732,130724.96962248172
1733,111080.70708556159
1734,119760.58165972323
1735,146972.14874997825
1736,120215.98668564149
1737,318414.16012956697
1738,232489.62303344594
1739,260588.68212949325
1740,211583.2563716264
1741,187041.94432291907
1742,162048.23325855605
1743,180101.75624315473
1744,309971.60055249993
1745,199663.20397783173
1746,184900.09716112883
1747,218654.67587836672
1748,226217.4120470036
1749,152753.0534304941
1750,123577.92540310466
1751,268114.5233719065
1752,115400.10815115288
1753,145785.4445544627
1754,193967.6361263374
1755,167459.1973383113
1756,134435.37192217036
1757,118961.74282744288
1758,144950.09623331157
